T,O,G,value
545,5,PV,0.02
546,5,PV,0.35
547,5,PV,0.03
548,5,PV,0
549,5,PV,0.52
550,5,PV,0.06
551,5,PV,0
552,5,PV,0.48
553,5,PV,0.02
554,5,PV,0.04
555,5,PV,0.51
556,5,PV,0.04
557,5,PV,0.55
558,5,PV,0.01
559,5,PV,0.32
560,5,PV,0.02
561,5,PV,0.59
562,5,PV,0.03
563,5,PV,0.05
564,5,PV,0
565,5,PV,0.05
566,5,PV,0.01
567,5,PV,0.34
568,5,PV,0.04
569,5,PV,0
570,5,PV,0.04
571,5,PV,0
572,5,PV,0.01
573,5,PV,0.49
574,5,PV,0.02
575,5,PV,0.43
576,5,PV,0.02
577,5,PV,0.01
578,5,PV,0.44
579,5,PV,0.06
580,5,PV,0
581,5,PV,0.44
582,5,PV,0.01
583,5,PV,0.46
584,5,PV,0.02
585,5,PV,0.41
586,5,PV,0.02
587,5,PV,0.48
588,5,PV,0.01
589,5,PV,0.34
590,5,PV,0.03
591,5,PV,0
592,5,PV,0.41
593,5,PV,0.01
594,5,PV,0.04
595,5,PV,0.02
596,5,PV,0.38
597,5,PV,0.02
598,5,PV,0
599,5,PV,0.04
600,5,PV,0
601,5,PV,0.04
602,5,PV,0.03
603,5,PV,0
604,5,PV,0.09
605,5,PV,0.01
606,5,PV,0.42
607,5,PV,0.02
608,5,PV,0
609,5,PV,0.01
610,5,PV,0.02
611,5,PV,0.01
612,5,PV,0.13
613,5,PV,0.01
614,5,PV,0.03
615,5,PV,0
616,5,PV,0.03
617,5,PV,0.01
618,5,PV,0.38
619,5,PV,0.02
620,5,PV,0.02
621,5,PV,0.39
622,5,PV,0.01
623,5,PV,0.01
624,5,PV,0.03
625,5,PV,0
626,5,PV,0.03
627,5,PV,0.19
628,5,PV,0
629,5,PV,0
630,5,PV,0.01
631,5,PV,0
632,5,PV,0.01
633,5,PV,0.02
634,5,PV,0.42
635,5,PV,0.01
636,5,PV,0
637,5,PV,0.26
638,5,PV,0.01
639,5,PV,0.33
640,5,PV,0.04
641,5,PV,0
642,5,PV,0.06
643,5,PV,0
644,5,PV,0.01
645,5,PV,0
646,5,PV,0.01
647,5,PV,0
648,5,PV,0.01
649,5,PV,0
650,5,PV,0
651,5,PV,0.04
652,5,PV,0
653,5,PV,0.01
654,5,PV,0
655,5,PV,0
656,5,PV,0.04
657,5,PV,0
658,5,PV,0.05
659,5,PV,0
660,5,PV,0.06
661,5,PV,0
662,5,PV,0.27
663,5,PV,0.01
664,5,PV,0.01
665,5,PV,0.01
666,5,PV,0.31
667,5,PV,0
668,5,PV,0
669,5,PV,0.03
670,5,PV,0.04
671,5,PV,0
672,5,PV,0.01
673,5,PV,0
674,5,PV,0.01
675,5,PV,0
676,5,PV,0.01
677,5,PV,0
678,5,PV,0
679,5,PV,0.03
680,5,PV,0.01
681,5,PV,0.01
682,5,PV,0.1
683,5,PV,0.01
684,5,PV,0.1
685,5,PV,0
686,5,PV,0.05
687,5,PV,0
688,5,PV,0.04
689,5,PV,0
690,5,PV,0.01
691,5,PV,0.01
692,5,PV,0
693,5,PV,0.01
694,5,PV,0.01
695,5,PV,0
696,5,PV,0
697,5,PV,0.01
698,5,PV,0.01
699,5,PV,0
700,5,PV,0.04
701,5,PV,0.04
702,5,PV,0
703,5,PV,0.02
704,5,PV,0
705,5,PV,0
706,5,PV,0.02
707,5,PV,0
708,5,PV,0.09
709,5,PV,0
710,5,PV,0.01
711,5,PV,0.05
712,5,PV,0.01
713,5,PV,0.03
714,5,PV,0
715,5,PV,0.01
716,5,PV,0.02
717,5,PV,0.29
718,5,PV,0.01
719,5,PV,0
720,5,PV,0.01
1,6,PV,0
2,6,PV,0
3,6,PV,0
4,6,PV,0.02
5,6,PV,0
6,6,PV,0.04
7,6,PV,0
8,6,PV,0.07
9,6,PV,0.01
10,6,PV,0.02
11,6,PV,0.01
12,6,PV,0
13,6,PV,0.03
14,6,PV,0
15,6,PV,0.01
16,6,PV,0.01
17,6,PV,0.02
18,6,PV,0.04
19,6,PV,0
20,6,PV,0.02
21,6,PV,0
22,6,PV,0.04
23,6,PV,0
24,6,PV,0.06
25,6,PV,0
26,6,PV,0.02
27,6,PV,0
28,6,PV,0.03
29,6,PV,0.06
30,6,PV,0
31,6,PV,0.02
32,6,PV,0
33,6,PV,0.06
34,6,PV,0
35,6,PV,0.02
36,6,PV,0
37,6,PV,0.07
38,6,PV,0
39,6,PV,0.07
40,6,PV,0
41,6,PV,0.04
42,6,PV,0.03
43,6,PV,0
44,6,PV,0.04
45,6,PV,0
46,6,PV,0.05
47,6,PV,0
48,6,PV,0.04
49,6,PV,0
50,6,PV,0.03
51,6,PV,0
52,6,PV,0.07
53,6,PV,0.01
54,6,PV,0.08
55,6,PV,0
56,6,PV,0.02
57,6,PV,0.06
58,6,PV,0
59,6,PV,0.02
60,6,PV,0
61,6,PV,0.11
62,6,PV,0.01
63,6,PV,0.31
64,6,PV,0.01
65,6,PV,0.03
66,6,PV,0.05
67,6,PV,0.42
68,6,PV,0
69,6,PV,0.34
70,6,PV,0.02
71,6,PV,0.03
72,6,PV,0.01
73,6,PV,0
74,6,PV,0.08
75,6,PV,0
76,6,PV,0.08
77,6,PV,0
78,6,PV,0.05
79,6,PV,0.02
80,6,PV,0.41
81,6,PV,0.03
82,6,PV,0.06
83,6,PV,0
84,6,PV,0.05
85,6,PV,0.00E+00
86,6,PV,0.02
87,6,PV,0.06
88,6,PV,0
89,6,PV,0.52
90,6,PV,0.1
91,6,PV,0
92,6,PV,0.07
93,6,PV,0.02
94,6,PV,0.47
95,6,PV,0.11
96,6,PV,0
97,6,PV,0.04
98,6,PV,0.01
99,6,PV,0.31
100,6,PV,0.01
101,6,PV,0.01
102,6,PV,0.32
103,6,PV,0.01
104,6,PV,0.27
105,6,PV,0.01
106,6,PV,0.41
107,6,PV,0
108,6,PV,0.01
109,6,PV,0.5
110,6,PV,0.01
111,6,PV,0
112,6,PV,0.02
113,6,PV,0.34
114,6,PV,0.02
115,6,PV,0.03
116,6,PV,0.16
117,6,PV,0
118,6,PV,0.03
119,6,PV,0.43
120,6,PV,0.02
121,6,PV,0.01
122,6,PV,0.46
123,6,PV,0.04
124,6,PV,0
125,6,PV,0.12
126,6,PV,0
127,6,PV,0.27
128,6,PV,0.01
129,6,PV,0.49
130,6,PV,0.03
131,6,PV,0.56
132,6,PV,0.08
133,6,PV,0.06
134,6,PV,0.52
135,6,PV,0.04
136,6,PV,0.24
137,6,PV,0
138,6,PV,0.34
139,6,PV,0.03
140,6,PV,0.49
141,6,PV,0.04
142,6,PV,0
143,6,PV,0.03
144,6,PV,0.03
145,6,PV,0.42
146,6,PV,0.04
147,6,PV,0.45
148,6,PV,0.02
149,6,PV,0.47
150,6,PV,0.03
151,6,PV,0.06
152,6,PV,0
153,6,PV,0.32
154,6,PV,0.03
155,6,PV,0.04
156,6,PV,0.51
157,6,PV,0.08
158,6,PV,0
159,6,PV,0.1
160,6,PV,0.02
161,6,PV,0.38
162,6,PV,0.01
163,6,PV,0.02
164,6,PV,0.33
165,6,PV,0.08
166,6,PV,0.09
167,6,PV,0.59
168,6,PV,0.01
169,6,PV,0.01
170,6,PV,0.22
171,6,PV,0.06
172,6,PV,0.05
173,6,PV,0.64
174,6,PV,0.06
175,6,PV,0.61
176,6,PV,0.04
177,6,PV,0.41
178,6,PV,0.02
179,6,PV,0.49
180,6,PV,0.07
181,6,PV,0.01
182,6,PV,0.56
183,6,PV,0.02
184,6,PV,0.64
185,6,PV,0.05
186,6,PV,0.44
187,6,PV,0.03
188,6,PV,0.36
189,6,PV,0.01
190,6,PV,0.08
191,6,PV,0.5
192,6,PV,0.03
193,6,PV,0.17
194,6,PV,0.02
195,6,PV,0.52
196,6,PV,0.04
197,6,PV,0.55
198,6,PV,0.03
199,6,PV,0.49
200,6,PV,0.02
201,6,PV,0.62
202,6,PV,0.04
203,6,PV,0.5
204,6,PV,0.06
205,6,PV,0.7
206,6,PV,0.05
207,6,PV,0.59
208,6,PV,0.09
209,6,PV,0.65
210,6,PV,0.04
211,6,PV,0.28
212,6,PV,0.01
213,6,PV,0.35
214,6,PV,0.02
215,6,PV,0.02
216,6,PV,0.35
217,6,PV,0.02
218,6,PV,0.15
219,6,PV,0.03
220,6,PV,0.71
221,6,PV,0.09
222,6,PV,0.11
223,6,PV,0.03
224,6,PV,0.18
225,6,PV,0.04
226,6,PV,0.53
227,6,PV,0.04
228,6,PV,0.02
229,6,PV,0.37
230,6,PV,0.02
231,6,PV,0.63
232,6,PV,0.12
233,6,PV,0.01
234,6,PV,0.09
235,6,PV,0.01
236,6,PV,0.64
237,6,PV,0.38
238,6,PV,0.01
239,6,PV,0.09
240,6,PV,0.01
241,6,PV,0.01
242,6,PV,0.35
243,6,PV,0.25
244,6,PV,0.04
245,6,PV,0.54
246,6,PV,0.1
247,6,PV,0.03
248,6,PV,0.54
249,6,PV,0.03
250,6,PV,0.46
251,6,PV,0.07
252,6,PV,0.09
253,6,PV,0.06
254,6,PV,0.61
255,6,PV,0.06
256,6,PV,0.48
257,6,PV,0.04
258,6,PV,0.57
259,6,PV,0.05
260,6,PV,0.57
261,6,PV,0.05
262,6,PV,0.46
263,6,PV,0.8
264,6,PV,0.07
265,6,PV,0.4
266,6,PV,0.1
267,6,PV,0.02
268,6,PV,0.38
269,6,PV,0.13
270,6,PV,0.01
271,6,PV,0.17
272,6,PV,0.04
273,6,PV,0.56
274,6,PV,0.07
275,6,PV,0.65
276,6,PV,0.07
277,6,PV,0.47
278,6,PV,0.09
279,6,PV,0.43
280,6,PV,0.02
281,6,PV,0.06
282,6,PV,0.68
283,6,PV,0.46
284,6,PV,0.04
285,6,PV,0.47
286,6,PV,0.05
287,6,PV,0.01
288,6,PV,0.4
289,6,PV,0.02
290,6,PV,0.38
291,6,PV,0.05
292,6,PV,0.39
293,6,PV,0.03
294,6,PV,0.39
295,6,PV,0.06
296,6,PV,0.22
297,6,PV,0.03
298,6,PV,0.6
299,6,PV,0.44
300,6,PV,0.05
301,6,PV,0
302,6,PV,0.13
303,6,PV,0.26
304,6,PV,0.05
305,6,PV,0.59
306,6,PV,0.29
307,6,PV,0.02
308,6,PV,0.45
309,6,PV,0.06
310,6,PV,0.57
311,6,PV,0.03
312,6,PV,0.39
313,6,PV,0.07
314,6,PV,0.01
315,6,PV,0.27
316,6,PV,0.02
317,6,PV,0.36
318,6,PV,0.07
319,6,PV,0.49
320,6,PV,0.05
321,6,PV,0.63
322,6,PV,0.07
323,6,PV,0.39
324,6,PV,0.03
325,6,PV,0.59
326,6,PV,0.06
327,6,PV,0.57
328,6,PV,0.05
329,6,PV,0.59
330,6,PV,0.24
331,6,PV,0.01
332,6,PV,0.23
333,6,PV,0.06
334,6,PV,0.68
335,6,PV,0.13
336,6,PV,0.04
337,6,PV,0.29
338,6,PV,0.03
339,6,PV,0.47
340,6,PV,0.06
341,6,PV,0.55
342,6,PV,0.06
343,6,PV,0.35
344,6,PV,0.04
345,6,PV,0.41
346,6,PV,0.05
347,6,PV,0.22
348,6,PV,0.03
349,6,PV,0.36
350,6,PV,0.06
351,6,PV,0.45
352,6,PV,0.06
353,6,PV,0.25
354,6,PV,0.02
355,6,PV,0.15
356,6,PV,0.02
357,6,PV,0.31
358,6,PV,0.05
359,6,PV,0.01
360,6,PV,0.52
361,6,PV,0.07
362,6,PV,0.01
363,6,PV,0.19
364,6,PV,0.55
365,6,PV,0.07
366,6,PV,0.54
367,6,PV,0.05
368,6,PV,0.02
369,6,PV,0.64
370,6,PV,0.07
371,6,PV,0.61
372,6,PV,0.11
373,6,PV,0.04
374,6,PV,0.36
375,6,PV,0.07
376,6,PV,0.61
377,6,PV,0.02
378,6,PV,0.26
379,6,PV,0.07
380,6,PV,0.05
381,6,PV,0.49
382,6,PV,0.06
383,6,PV,0.56
384,6,PV,0.05
385,6,PV,0.62
386,6,PV,0.14
387,6,PV,0.03
388,6,PV,0.56
389,6,PV,0.06
390,6,PV,0.58
391,6,PV,0.04
392,6,PV,0.2
393,6,PV,0.09
394,6,PV,0.71
395,6,PV,0.25
396,6,PV,0.04
397,6,PV,0.44
398,6,PV,0.03
399,6,PV,0.24
400,6,PV,0.03
401,6,PV,0.4
402,6,PV,0.02
403,6,PV,0.31
404,6,PV,0.04
405,6,PV,0.62
406,6,PV,0.09
407,6,PV,0.02
408,6,PV,0.3
409,6,PV,0.02
410,6,PV,0.32
411,6,PV,0.01
412,6,PV,0.02
413,6,PV,0.24
414,6,PV,0.06
415,6,PV,0.44
416,6,PV,0.06
417,6,PV,0.03
418,6,PV,0.58
419,6,PV,0.08
420,6,PV,0.61
421,6,PV,0.15
422,6,PV,0.05
423,6,PV,0.6
424,6,PV,0.08
425,6,PV,0.03
426,6,PV,0.55
427,6,PV,0.05
428,6,PV,0.63
429,6,PV,0.06
430,6,PV,0.56
431,6,PV,0.02
432,6,PV,0.24
433,6,PV,0.02
434,6,PV,0.27
435,6,PV,0.01
436,6,PV,0.04
437,6,PV,0.38
438,6,PV,0.03
439,6,PV,0.54
440,6,PV,0.07
441,6,PV,0.31
442,6,PV,0.02
443,6,PV,0.63
444,6,PV,0.33
445,6,PV,0.03
446,6,PV,0.5
447,6,PV,0.02
448,6,PV,0.07
449,6,PV,0.58
450,6,PV,0.02
451,6,PV,0.46
452,6,PV,0.08
453,6,PV,0.59
454,6,PV,0.03
455,6,PV,0.34
456,6,PV,0.02
457,6,PV,0.58
458,6,PV,0.04
459,6,PV,0.49
460,6,PV,0.05
461,6,PV,0.43
462,6,PV,0.05
463,6,PV,0.44
464,6,PV,0.06
465,6,PV,0.56
466,6,PV,0.04
467,6,PV,0.57
468,6,PV,0.05
469,6,PV,0.62
470,6,PV,0.04
471,6,PV,0.28
472,6,PV,0.02
473,6,PV,0.61
474,6,PV,0.07
475,6,PV,0.62
476,6,PV,0.05
477,6,PV,0.47
478,6,PV,0.02
479,6,PV,0.41
480,6,PV,0.03
481,6,PV,0.42
482,6,PV,0.03
483,6,PV,0
484,6,PV,0.31
485,6,PV,0.02
486,6,PV,0.05
487,6,PV,0.64
488,6,PV,0.05
489,6,PV,0.42
490,6,PV,0.03
491,6,PV,0.11
492,6,PV,0.01
493,6,PV,0.32
494,6,PV,0.07
495,6,PV,0.57
496,6,PV,0.05
497,6,PV,0.56
498,6,PV,0.04
499,6,PV,0.56
500,6,PV,0.03
501,6,PV,0.53
502,6,PV,0.01
503,6,PV,0.49
504,6,PV,0.02
505,6,PV,0.34
506,6,PV,0.01
507,6,PV,0.08
508,6,PV,0
509,6,PV,0.34
510,6,PV,0.02
511,6,PV,0.11
512,6,PV,0.02
513,6,PV,0.24
514,6,PV,0.07
515,6,PV,0.01
516,6,PV,0.44
517,6,PV,0.03
518,6,PV,0.37
519,6,PV,0.04
520,6,PV,0.52
521,6,PV,0.04
522,6,PV,0.35
523,6,PV,0.03
524,6,PV,0.57
525,6,PV,0.01
526,6,PV,0.12
527,6,PV,0
528,6,PV,0.38
529,6,PV,0.01
530,6,PV,0.09
531,6,PV,0.04
532,6,PV,0.35
533,6,PV,0.06
534,6,PV,0.03
535,6,PV,0.44
536,6,PV,0.01
537,6,PV,0.55
538,6,PV,0.04
539,6,PV,0.46
540,6,PV,0
541,6,PV,0.1
542,6,PV,0
543,6,PV,0.11
544,6,PV,0.08
545,6,PV,0.01
546,6,PV,0.17
547,6,PV,0
548,6,PV,0.38
549,6,PV,0.01
550,6,PV,0.47
551,6,PV,0.02
552,6,PV,0.44
553,6,PV,0.07
554,6,PV,0.02
555,6,PV,0.52
556,6,PV,0.01
557,6,PV,0.23
558,6,PV,0
559,6,PV,0.2
560,6,PV,0.04
561,6,PV,0.51
562,6,PV,0.01
563,6,PV,0.58
564,6,PV,0.02
565,6,PV,0.54
566,6,PV,0.05
567,6,PV,0.4
568,6,PV,0.08
569,6,PV,0.02
570,6,PV,0.02
571,6,PV,0.02
572,6,PV,0.02
573,6,PV,0.55
574,6,PV,0.05
575,6,PV,0.44
576,6,PV,0.01
577,6,PV,0
578,6,PV,0.25
579,6,PV,0.01
580,6,PV,0.06
581,6,PV,0.02
582,6,PV,0.31
583,6,PV,0.01
584,6,PV,0.4
585,6,PV,0.01
586,6,PV,0.46
587,6,PV,0.02
588,6,PV,0.42
589,6,PV,0.03
590,6,PV,0.47
591,6,PV,0.03
592,6,PV,0.37
593,6,PV,0.06
594,6,PV,0
595,6,PV,0.18
596,6,PV,0
597,6,PV,0
598,6,PV,0.02
599,6,PV,0.25
600,6,PV,0.01
601,6,PV,0
602,6,PV,0.43
603,6,PV,0.03
604,6,PV,0
605,6,PV,0.4
606,6,PV,0.01
607,6,PV,0
608,6,PV,0.05
609,6,PV,0
610,6,PV,0.04
611,6,PV,0
612,6,PV,0.33
613,6,PV,0.03
614,6,PV,0.03
615,6,PV,0
616,6,PV,0.11
617,6,PV,0.02
618,6,PV,0.01
619,6,PV,0.02
620,6,PV,0.01
621,6,PV,0.44
622,6,PV,0
623,6,PV,0
624,6,PV,0.37
625,6,PV,0.01
626,6,PV,0.4
627,6,PV,0.01
628,6,PV,0.01
629,6,PV,0.03
630,6,PV,0.02
631,6,PV,0
632,6,PV,0.04
633,6,PV,0
634,6,PV,0.01
635,6,PV,0.04
636,6,PV,0
637,6,PV,0.02
638,6,PV,0.04
639,6,PV,0
640,6,PV,0.09
641,6,PV,0
642,6,PV,0.07
643,6,PV,0.02
644,6,PV,0
645,6,PV,0.05
646,6,PV,0.01
647,6,PV,0.15
648,6,PV,0
649,6,PV,0.05
650,6,PV,0
651,6,PV,0.05
652,6,PV,0.12
653,6,PV,0
654,6,PV,0.02
655,6,PV,0
656,6,PV,0.01
657,6,PV,0
658,6,PV,0
659,6,PV,0.1
660,6,PV,0
661,6,PV,0.07
662,6,PV,0
663,6,PV,0
664,6,PV,0.05
665,6,PV,0
666,6,PV,0.03
667,6,PV,0
668,6,PV,0.01
669,6,PV,0
670,6,PV,0.01
671,6,PV,0
672,6,PV,0.01
673,6,PV,0.03
674,6,PV,0
675,6,PV,0
676,6,PV,0.01
677,6,PV,0.03
678,6,PV,0
679,6,PV,0
680,6,PV,0.01
681,6,PV,0
682,6,PV,0
683,6,PV,0.01
684,6,PV,0
685,6,PV,0.08
686,6,PV,0
687,6,PV,0
688,6,PV,0.02
689,6,PV,0
690,6,PV,0.01
691,6,PV,0.01
692,6,PV,0.01
693,6,PV,0
694,6,PV,0.03
695,6,PV,0
696,6,PV,0.02
697,6,PV,0
698,6,PV,0.01
699,6,PV,0
700,6,PV,0.01
701,6,PV,0
702,6,PV,0.01
703,6,PV,0
704,6,PV,0.02
705,6,PV,0
706,6,PV,0.04
707,6,PV,0.02
708,6,PV,0.03
709,6,PV,0
710,6,PV,0.03
711,6,PV,0
712,6,PV,0.1
713,6,PV,0
714,6,PV,0.02
715,6,PV,0
716,6,PV,0.16
717,6,PV,0
718,6,PV,0
719,6,PV,0.01
720,6,PV,0
1,7,PV,0
2,7,PV,0.1
3,7,PV,0
4,7,PV,0.01
5,7,PV,0
6,7,PV,0
7,7,PV,0.03
8,7,PV,0
9,7,PV,0
10,7,PV,0
11,7,PV,0.15
12,7,PV,0.02
13,7,PV,0
14,7,PV,0.03
15,7,PV,0.01
16,7,PV,0.23
17,7,PV,0
18,7,PV,0
19,7,PV,0.03
20,7,PV,0
21,7,PV,0.02
22,7,PV,0
23,7,PV,0.05
24,7,PV,0
25,7,PV,0.07
26,7,PV,0
27,7,PV,0.05
28,7,PV,0.03
29,7,PV,0.12
30,7,PV,0
31,7,PV,0.03
32,7,PV,0
33,7,PV,0
34,7,PV,0
35,7,PV,0.05
36,7,PV,0
37,7,PV,0.01
38,7,PV,0
39,7,PV,0.02
40,7,PV,0
41,7,PV,0.01
42,7,PV,0
43,7,PV,0.03
44,7,PV,0.01
45,7,PV,0.06
46,7,PV,0
47,7,PV,0.08
48,7,PV,0
49,7,PV,0.1
50,7,PV,0
51,7,PV,0
52,7,PV,0.11
53,7,PV,0.01
54,7,PV,0
55,7,PV,0.11
56,7,PV,0
57,7,PV,0.1
58,7,PV,0
59,7,PV,0.02
60,7,PV,0
61,7,PV,0
62,7,PV,0.01
63,7,PV,0.04
64,7,PV,0
65,7,PV,0.12
66,7,PV,0
67,7,PV,0.01
68,7,PV,0.35
69,7,PV,0.03
70,7,PV,0.01
71,7,PV,0.31
72,7,PV,0.01
73,7,PV,0.01
74,7,PV,0.37
75,7,PV,0.01
76,7,PV,0.03
77,7,PV,0.01
78,7,PV,0.13
79,7,PV,0.01
80,7,PV,0.24
81,7,PV,0.01
82,7,PV,0.34
83,7,PV,0.03
84,7,PV,0.01
85,7,PV,0.01
86,7,PV,0.38
87,7,PV,0.01
88,7,PV,0.05
89,7,PV,0.38
90,7,PV,0
91,7,PV,0.03
92,7,PV,0.23
93,7,PV,0.03
94,7,PV,0.34
95,7,PV,0.03
96,7,PV,0.01
97,7,PV,0.35
98,7,PV,0.01
99,7,PV,0.34
100,7,PV,0.01
101,7,PV,0.5
102,7,PV,0.01
103,7,PV,0
104,7,PV,0.1
105,7,PV,0.01
106,7,PV,0.09
107,7,PV,0.07
108,7,PV,0.02
109,7,PV,0.31
110,7,PV,0.04
111,7,PV,0.02
112,7,PV,0.33
113,7,PV,0
114,7,PV,0.06
115,7,PV,0
116,7,PV,0.28
117,7,PV,0.03
118,7,PV,0
119,7,PV,0.27
120,7,PV,0
121,7,PV,0.01
122,7,PV,0.4
123,7,PV,0.04
124,7,PV,0.36
125,7,PV,0.02
126,7,PV,0
127,7,PV,0.13
128,7,PV,0
129,7,PV,0.09
130,7,PV,0.02
131,7,PV,0.53
132,7,PV,0.05
133,7,PV,0.03
134,7,PV,0.37
135,7,PV,0.02
136,7,PV,0.02
137,7,PV,0.54
138,7,PV,0.02
139,7,PV,0.54
140,7,PV,0.02
141,7,PV,0.47
142,7,PV,0.01
143,7,PV,0.12
144,7,PV,0.02
145,7,PV,0.18
146,7,PV,0.01
147,7,PV,0.34
148,7,PV,0.02
149,7,PV,0.01
150,7,PV,0.31
151,7,PV,0.05
152,7,PV,0.05
153,7,PV,0
154,7,PV,0.23
155,7,PV,0.03
156,7,PV,0.48
157,7,PV,0.03
158,7,PV,0.49
159,7,PV,0.03
160,7,PV,0.1
161,7,PV,0.5
162,7,PV,0.04
163,7,PV,0.41
164,7,PV,0.02
165,7,PV,0.31
166,7,PV,0.01
167,7,PV,0.58
168,7,PV,0.02
169,7,PV,0.05
170,7,PV,0.02
171,7,PV,0.38
172,7,PV,0.03
173,7,PV,0.33
174,7,PV,0.02
175,7,PV,0.04
176,7,PV,0.27
177,7,PV,0.02
178,7,PV,0.4
179,7,PV,0.01
180,7,PV,0.27
181,7,PV,0.02
182,7,PV,0.22
183,7,PV,0.01
184,7,PV,0.07
185,7,PV,0.01
186,7,PV,0.53
187,7,PV,0.03
188,7,PV,0.55
189,7,PV,0.05
190,7,PV,0.54
191,7,PV,0.05
192,7,PV,0.62
193,7,PV,0.06
194,7,PV,0.01
195,7,PV,0.34
196,7,PV,0.05
197,7,PV,0.03
198,7,PV,0.33
199,7,PV,0.02
200,7,PV,0.46
201,7,PV,0.1
202,7,PV,0.01
203,7,PV,0.58
204,7,PV,0.07
205,7,PV,0.68
206,7,PV,0.05
207,7,PV,0.59
208,7,PV,0.02
209,7,PV,0.28
210,7,PV,0.64
211,7,PV,0.04
212,7,PV,0.02
213,7,PV,0.4
214,7,PV,0.01
215,7,PV,0.02
216,7,PV,0.44
217,7,PV,0.05
218,7,PV,0.54
219,7,PV,0.02
220,7,PV,0.24
221,7,PV,0.04
222,7,PV,0.36
223,7,PV,0.04
224,7,PV,0.47
225,7,PV,0.02
226,7,PV,0.26
227,7,PV,0.04
228,7,PV,0.06
229,7,PV,0.02
230,7,PV,0.54
231,7,PV,0.08
232,7,PV,0
233,7,PV,0.11
234,7,PV,0.14
235,7,PV,0.03
236,7,PV,0.55
237,7,PV,0.05
238,7,PV,0.48
239,7,PV,0.05
240,7,PV,0.38
241,7,PV,0.01
242,7,PV,0.36
243,7,PV,0.03
244,7,PV,0.01
245,7,PV,0.14
246,7,PV,0.01
247,7,PV,0.33
248,7,PV,0.02
249,7,PV,0.58
250,7,PV,0.05
251,7,PV,0.7
252,7,PV,0.06
253,7,PV,0.65
254,7,PV,0.06
255,7,PV,0.69
256,7,PV,0.06
257,7,PV,0.59
258,7,PV,0.08
259,7,PV,0.67
260,7,PV,0.04
261,7,PV,0.55
262,7,PV,0.05
263,7,PV,0.47
264,7,PV,0.03
265,7,PV,0.35
266,7,PV,0.04
267,7,PV,0.27
268,7,PV,0.01
269,7,PV,0.17
270,7,PV,0.05
271,7,PV,0.43
272,7,PV,0.05
273,7,PV,0.46
274,7,PV,0.02
275,7,PV,0.25
276,7,PV,0.07
277,7,PV,0.65
278,7,PV,0.03
279,7,PV,0.38
280,7,PV,0.73
281,7,PV,0.1
282,7,PV,0.7
283,7,PV,0.08
284,7,PV,0.7
285,7,PV,0.07
286,7,PV,0.64
287,7,PV,0.06
288,7,PV,0.57
289,7,PV,0.08
290,7,PV,0.69
291,7,PV,0.06
292,7,PV,0.55
293,7,PV,0.02
294,7,PV,0.33
295,7,PV,0.04
296,7,PV,0.6
297,7,PV,0.03
298,7,PV,0.21
299,7,PV,0.07
300,7,PV,0.06
301,7,PV,0.59
302,7,PV,0.07
303,7,PV,0.64
304,7,PV,0.03
305,7,PV,0.66
306,7,PV,0.07
307,7,PV,0.68
308,7,PV,0.05
309,7,PV,0.67
310,7,PV,0.09
311,7,PV,0.44
312,7,PV,0.03
313,7,PV,0.58
314,7,PV,0.05
315,7,PV,0.4
316,7,PV,0.03
317,7,PV,0.28
318,7,PV,0.02
319,7,PV,0.39
320,7,PV,0.08
321,7,PV,0.64
322,7,PV,0.03
323,7,PV,0.1
324,7,PV,0.04
325,7,PV,0.04
326,7,PV,0.55
327,7,PV,0.05
328,7,PV,0.42
329,7,PV,0.03
330,7,PV,0.1
331,7,PV,0.57
332,7,PV,0.07
333,7,PV,0.49
334,7,PV,0.03
335,7,PV,0.55
336,7,PV,0.07
337,7,PV,0.68
338,7,PV,0.06
339,7,PV,0.64
340,7,PV,0.06
341,7,PV,0.31
342,7,PV,0.04
343,7,PV,0.61
344,7,PV,0.13
345,7,PV,0.01
346,7,PV,0.43
347,7,PV,0.07
348,7,PV,0.6
349,7,PV,0.07
350,7,PV,0.08
351,7,PV,0.46
352,7,PV,0.07
353,7,PV,0.59
354,7,PV,0.15
355,7,PV,0.02
356,7,PV,0.4
357,7,PV,0.01
358,7,PV,0.49
359,7,PV,0.04
360,7,PV,0.32
361,7,PV,0.02
362,7,PV,0.34
363,7,PV,0.03
364,7,PV,0.4
365,7,PV,0.06
366,7,PV,0.52
367,7,PV,0.23
368,7,PV,0.01
369,7,PV,0.43
370,7,PV,0.02
371,7,PV,0.48
372,7,PV,0.04
373,7,PV,0.31
374,7,PV,0.04
375,7,PV,0.38
376,7,PV,0.05
377,7,PV,0.02
378,7,PV,0.34
379,7,PV,0.05
380,7,PV,0.45
381,7,PV,0.03
382,7,PV,0.59
383,7,PV,0.1
384,7,PV,0.07
385,7,PV,0.59
386,7,PV,0.07
387,7,PV,0.54
388,7,PV,0.07
389,7,PV,0.24
390,7,PV,0.02
391,7,PV,0.3
392,7,PV,0.05
393,7,PV,0.14
394,7,PV,0.13
395,7,PV,0.59
396,7,PV,0.03
397,7,PV,0.28
398,7,PV,0.05
399,7,PV,0.55
400,7,PV,0.07
401,7,PV,0.57
402,7,PV,0.04
403,7,PV,0.2
404,7,PV,0.06
405,7,PV,0.58
406,7,PV,0.05
407,7,PV,0.45
408,7,PV,0.06
409,7,PV,0.46
410,7,PV,0.05
411,7,PV,0.61
